,SA2 Name,1-149(75),150-299(225),300-399(350),400-499(450),500-649(575),650-799(725),800-999(900),"1,000-1,249(1,125)","1,250-1,499(1,375)","1,500-1,749(1,625)","1,750-1,999(1875)","2,000-2,499(2,250)","2,500-2,999(2,750)","3,000-3,499(3,250)","3,500-3,999(3,750)","4,000-4,499(4,250)","4,500-4,999(4,750)","5,000-5,999 (5,500)","6,000-7,999(7000)","8,000 or more(8000)",Total
35,Ballajura,22.0,30.0,33.0,101.0,110.0,322.0,265.0,368.0,354.0,316.0,330.0,633.0,451.0,231.0,167.0,87.0,60.0,55.0,30.0,3.0,3968.0
36,Beechboro,14.0,39.0,36.0,92.0,113.0,232.0,239.0,310.0,351.0,315.0,338.0,598.0,352.0,205.0,131.0,70.0,46.0,47.0,19.0,0.0,3547.0
37,Bullsbrook,6.0,8.0,8.0,30.0,28.0,62.0,50.0,79.0,81.0,95.0,92.0,178.0,105.0,59.0,56.0,27.0,31.0,15.0,11.0,3.0,1024.0
38,Ellenbrook,23.0,53.0,72.0,182.0,217.0,375.0,365.0,568.0,691.0,639.0,712.0,1536.0,982.0,561.0,409.0,174.0,129.0,91.0,37.0,3.0,7819.0
39,Gidgegannup,9.0,0.0,0.0,19.0,5.0,29.0,30.0,40.0,41.0,25.0,40.0,84.0,62.0,49.0,46.0,21.0,26.0,20.0,14.0,0.0,560.0
40,Hazelmere - Guildford,0.0,6.0,11.0,23.0,34.0,73.0,49.0,57.0,64.0,72.0,60.0,164.0,102.0,77.0,47.0,31.0,31.0,15.0,19.0,0.0,935.0
41,Lockridge - Kiara,10.0,20.0,16.0,76.0,83.0,169.0,149.0,174.0,184.0,188.0,163.0,414.0,241.0,161.0,80.0,42.0,40.0,18.0,11.0,5.0,2244.0
44,Middle Swan - Herne Hill,13.0,8.0,8.0,38.0,43.0,98.0,86.0,109.0,101.0,78.0,85.0,160.0,97.0,62.0,42.0,23.0,17.0,10.0,13.0,3.0,1094.0
45,Midland - Guildford,14.0,25.0,19.0,81.0,89.0,179.0,124.0,215.0,190.0,153.0,144.0,271.0,169.0,91.0,97.0,36.0,42.0,29.0,24.0,3.0,1995.0
46,Stratton - Jane Brook,10.0,13.0,11.0,34.0,46.0,97.0,99.0,110.0,147.0,106.0,130.0,256.0,154.0,97.0,60.0,30.0,38.0,21.0,10.0,0.0,1469.0
47,The Vines,7.0,13.0,9.0,39.0,41.0,86.0,104.0,161.0,138.0,154.0,154.0,380.0,231.0,183.0,161.0,102.0,81.0,78.0,35.0,6.0,2163.0
49,Craigie - Beldon,10.0,24.0,13.0,57.0,71.0,164.0,144.0,172.0,189.0,160.0,177.0,405.0,286.0,153.0,86.0,51.0,42.0,23.0,7.0,0.0,2234.0
50,Currambine - Kinross,10.0,23.0,19.0,57.0,66.0,166.0,153.0,198.0,198.0,196.0,231.0,512.0,439.0,275.0,222.0,145.0,103.0,99.0,30.0,3.0,3145.0
51,Duncraig,10.0,24.0,12.0,59.0,64.0,167.0,175.0,219.0,203.0,196.0,212.0,542.0,443.0,309.0,296.0,210.0,202.0,162.0,109.0,15.0,3629.0
