,SA2 Name,1-149,150-299,300-449,450-599,600-799,800-999,"1,000-1,199","1,200-1,399","1,400-1,599","1,600-1,799","1,800-1,999","2,000-2,199","2,200-2,399","2,400-2,599","2,600-2,999","3,000-3,999","4,000-4,999","5,000 and over",Total,Median
80,Two Rocks,3.0,0.0,6.0,8.0,14.0,9.0,26.0,35.0,31.0,39.0,41.0,62.0,31.0,20.0,45.0,68.0,23.0,12.0,473.0,2080.6451612903224
81,Yanchep,9.0,6.0,23.0,17.0,30.0,39.0,38.0,70.0,95.0,153.0,181.0,253.0,150.0,112.0,210.0,123.0,25.0,20.0,1554.0,2092.094861660079
82,Armadale - Wungong - Brookdale,12.0,27.0,81.0,73.0,104.0,167.0,240.0,329.0,370.0,402.0,245.0,252.0,90.0,55.0,86.0,97.0,21.0,16.0,2667.0,1562.7027027027027
83,Camillo - Champion Lakes,9.0,23.0,20.0,25.0,43.0,58.0,83.0,103.0,88.0,136.0,84.0,94.0,38.0,15.0,46.0,21.0,5.0,8.0,899.0,1595.4545454545455
84,Forrestdale - Harrisdale - Piara Waters,6.0,13.0,31.0,21.0,45.0,65.0,88.0,132.0,187.0,288.0,316.0,641.0,503.0,409.0,707.0,590.0,120.0,93.0,4255.0,2317.296222664016
85,Kelmscott,11.0,23.0,41.0,44.0,61.0,93.0,90.0,162.0,135.0,168.0,121.0,192.0,72.0,35.0,98.0,79.0,17.0,16.0,1458.0,1682.7380952380952
86,Mount Nasura - Mount Richon - Bedfordale,12.0,16.0,32.0,30.0,50.0,56.0,69.0,65.0,74.0,92.0,84.0,170.0,80.0,46.0,137.0,184.0,68.0,33.0,1298.0,2081.764705882353
87,Roleystone,10.0,14.0,19.0,23.0,26.0,47.0,68.0,75.0,65.0,90.0,76.0,132.0,75.0,75.0,145.0,168.0,47.0,35.0,1190.0,2125.0
88,Seville Grove,4.0,19.0,26.0,18.0,62.0,77.0,104.0,151.0,203.0,277.0,237.0,283.0,124.0,61.0,121.0,74.0,19.0,13.0,1873.0,1797.1119133574007
89,Belmont - Ascot - Redcliffe,15.0,14.0,28.0,20.0,59.0,81.0,102.0,106.0,106.0,144.0,132.0,232.0,110.0,96.0,159.0,197.0,60.0,38.0,1699.0,2037.0689655172414
90,East Victoria Park - Carlisle,17.0,21.0,38.0,40.0,61.0,74.0,88.0,110.0,137.0,140.0,120.0,290.0,111.0,96.0,212.0,300.0,89.0,61.0,2005.0,2108.2758620689656
91,Rivervale - Kewdale - Cloverdale,31.0,27.0,48.0,48.0,73.0,116.0,123.0,182.0,219.0,271.0,194.0,327.0,178.0,145.0,259.0,277.0,70.0,41.0,2629.0,1982.4742268041236
92,Victoria Park - Lathlain - Burswood,10.0,18.0,29.0,17.0,41.0,68.0,81.0,96.0,99.0,119.0,80.0,201.0,73.0,82.0,153.0,236.0,104.0,46.0,1553.0,2118.407960199005
93,Bentley - Wilson - St James,15.0,19.0,34.0,28.0,54.0,55.0,90.0,70.0,107.0,130.0,139.0,192.0,96.0,93.0,133.0,188.0,71.0,33.0,1547.0,2034.375
94,Canning Vale - West,18.0,22.0,24.0,27.0,44.0,50.0,79.0,85.0,73.0,105.0,86.0,194.0,79.0,87.0,164.0,217.0,60.0,46.0,1460.0,2121.134020618557
95,Cannington - Queens Park,14.0,21.0,42.0,29.0,53.0,72.0,115.0,125.0,156.0,215.0,191.0,293.0,162.0,109.0,142.0,147.0,42.0,29.0,1957.0,1943.455497382199
96,Parkwood - Ferndale - Lynwood,23.0,21.0,56.0,49.0,87.0,97.0,115.0,161.0,176.0,181.0,171.0,246.0,110.0,89.0,165.0,130.0,33.0,17.0,1927.0,1797.7900552486187
97,Riverton - Shelley - Rossmoyne,19.0,11.0,33.0,31.0,46.0,56.0,71.0,63.0,68.0,77.0,54.0,157.0,66.0,59.0,118.0,214.0,104.0,104.0,1351.0,2187.2611464968154
98,Willetton,31.0,29.0,51.0,67.0,72.0,77.0,119.0,128.0,129.0,132.0,118.0,234.0,103.0,99.0,185.0,358.0,86.0,69.0,2087.0,2077.777777777778
99,Beckenham - Kenwick - Langford,15.0,27.0,63.0,62.0,111.0,130.0,144.0,212.0,265.0,302.0,207.0,297.0,122.0,99.0,180.0,128.0,41.0,33.0,2438.0,1726.158940397351
100,Canning Vale - East,32.0,22.0,54.0,40.0,79.0,103.0,174.0,203.0,223.0,277.0,219.0,475.0,259.0,206.0,417.0,472.0,114.0,60.0,3429.0,2121.684210526316
101,Gosnells,22.0,28.0,81.0,81.0,105.0,149.0,202.0,254.0,328.0,414.0,304.0,373.0,110.0,74.0,136.0,87.0,26.0,11.0,2785.0,1669.0821256038648
102,Huntingdale - Southern River,21.0,23.0,56.0,51.0,70.0,107.0,142.0,210.0,243.0,312.0,253.0,487.0,246.0,237.0,418.0,420.0,95.0,60.0,3451.0,2097.741273100616
103,Maddington - Orange Grove - Martin,8.0,17.0,53.0,36.0,71.0,105.0,127.0,182.0,194.0,234.0,172.0,215.0,104.0,52.0,142.0,84.0,31.0,35.0,1862.0,1718.3760683760684
104,Thornlie,29.0,38.0,84.0,74.0,130.0,171.0,224.0,279.0,314.0,367.0,309.0,425.0,214.0,135.0,280.0,181.0,73.0,39.0,3366.0,1785.558583106267
105,Forrestfield - Wattle Grove,22.0,16.0,34.0,42.0,83.0,101.0,149.0,239.0,200.0,315.0,272.0,454.0,257.0,187.0,369.0,257.0,54.0,37.0,3088.0,2031.4977973568282
106,High Wycombe,8.0,12.0,30.0,38.0,77.0,88.0,108.0,165.0,142.0,196.0,147.0,290.0,159.0,114.0,189.0,152.0,31.0,25.0,1971.0,1965.9863945578231
107,Kalamunda - Maida Vale - Gooseberry Hill,29.0,16.0,42.0,24.0,58.0,78.0,111.0,146.0,123.0,123.0,100.0,225.0,111.0,112.0,212.0,334.0,126.0,62.0,2032.0,2148.0
108,Lesmurdie - Bickley - Carmel,9.0,17.0,31.0,36.0,61.0,59.0,98.0,93.0,82.0,104.0,95.0,176.0,89.0,69.0,166.0,242.0,79.0,41.0,1547.0,2101.1363636363635
109,Byford,11.0,10.0,24.0,22.0,55.0,65.0,93.0,152.0,238.0,347.0,387.0,624.0,348.0,251.0,387.0,267.0,70.0,31.0,3382.0,2092.147435897436
110,Mundijong,3.0,4.0,11.0,17.0,28.0,48.0,42.0,42.0,56.0,55.0,56.0,133.0,64.0,48.0,87.0,215.0,76.0,36.0,1021.0,2250.0
