,SA2 Name,2011_entire,2016_entire,2011_aus,2016_aus,2016-2011_change_entire,2016-2011_change_aus,2011_overseas,2016_overseas,2016-2011_change_overseas,2011_overseas_percentage,2016_overseas_percentage,2016-2011_overseas_increase_percentage
147,Applecross - Ardross,10476.0,11034.0,5929.0,6304.0,558.0,375.0,4547.0,4730.0,183.0,0.4340397098129057,0.42867500453144824,0.04024631625247421
148,Bateman,3701.0,3717.0,2113.0,2048.0,16.0,-65.0,1588.0,1669.0,81.0,0.42907322345312077,0.44901802528921175,0.05100755667506296
149,Bicton - Palmyra,12638.0,13680.0,8671.0,9360.0,1042.0,689.0,3967.0,4320.0,353.0,0.3138946035765153,0.3157894736842105,0.08898411898159808
150,Booragoon,13809.0,14454.0,7945.0,8388.0,645.0,443.0,5864.0,6066.0,202.0,0.4246505901948005,0.41967621419676215,0.03444747612551158
151,Bull Creek,7483.0,7746.0,4060.0,4075.0,263.0,15.0,3423.0,3671.0,248.0,0.45743685687558466,0.47392202427059127,0.0724510663160971
152,Leeming,10932.0,10730.0,6819.0,6470.0,-202.0,-349.0,4113.0,4260.0,147.0,0.3762349066959385,0.39701770736253494,0.03574033552151712
153,Melville,15243.0,16278.0,10606.0,11406.0,1035.0,800.0,4637.0,4872.0,235.0,0.3042052089483697,0.29929966826391446,0.05067931852490837
154,Murdoch - Kardinya,12506.0,12257.0,6989.0,6770.0,-249.0,-219.0,5517.0,5487.0,-30.0,0.44114824884055653,0.44766256016969896,-0.0054377379010331905
155,Willagee,4711.0,4872.0,3247.0,3269.0,161.0,22.0,1464.0,1603.0,139.0,0.3107620462746763,0.3290229885057471,0.09494535519125691
156,Winthrop,6176.0,5907.0,3081.0,3003.0,-269.0,-78.0,3095.0,2904.0,-191.0,0.5011334196891192,0.49162011173184356,-0.061712439418416754
157,Baldivis,16115.0,33028.0,10385.0,19608.0,16913.0,9223.0,5730.0,13420.0,7690.0,0.3555693453304375,0.40632190868354123,1.3420593368237346
158,Cooloongup,8492.0,8591.0,5605.0,5376.0,99.0,-229.0,2887.0,3215.0,328.0,0.33996702779086196,0.3742288441392155,0.11361274679598199
159,Port Kennedy,13827.0,13777.0,8794.0,8627.0,-50.0,-167.0,5033.0,5150.0,117.0,0.3639979749764953,0.37381142483849894,0.0232465726207034
160,Rockingham,14995.0,15435.0,8490.0,8315.0,440.0,-175.0,6505.0,7120.0,615.0,0.4338112704234745,0.46128927761580824,0.09454265949269791
162,Safety Bay - Shoalwater,10911.0,11508.0,6945.0,7278.0,597.0,333.0,3966.0,4230.0,264.0,0.3634863898817707,0.367570385818561,0.06656580937972767
163,Singleton - Golden Bay - Secret Harbour,15141.0,19607.0,9487.0,12078.0,4466.0,2591.0,5654.0,7529.0,1875.0,0.373423155670035,0.3839955118070077,0.3316236292889989
164,Waikiki,11654.0,12454.0,7408.0,7719.0,800.0,311.0,4246.0,4735.0,489.0,0.3643384245752531,0.38019913280873613,0.11516721620348558
165,Warnbro,10734.0,10701.0,7074.0,6780.0,-33.0,-294.0,3660.0,3921.0,261.0,0.34097261039686977,0.3664143537987104,0.07131147540983607
